# reps=1000, dist name=almost, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_Merge σ_Merge	µ_MergeWriteBack σ_MergeWriteBack	µ_MergeHalfSpace σ_MergeHalfSpace
16  	   4049   398	   4171   398	   4061   398
24  	   6647   678	   6770   678	   6660   678
32  	   9495   852	   9616   853	   9506   852
48  	  15325  1305	  15446  1305	  15336  1305
64  	  21756  1679	  21880  1680	  21767  1680
96  	  40367  1762	  44113  1764	  41019  1931
128 	  55138  2242	  58774  2242	  55586  2497
192 	  95422  2669	  95541  2669	  96017  2934
256 	 129616  3493	 129737  3497	 132680  4017
384 	 216417  4403	 226909  4400	 222103  5018
512 	 293135  5700	 305771  5699	 304334  6995
768 	 484274  7033	 484400  7035	 503001  8712
1024	 656692  9410	 656818  9416	 689612 12149
1536	1071009 12310	1108480 12316	1124286 16433
2048	1447966 16493	1496563 16498	1532213 22484
3072	2347076 22529	2347205 22534	2479545 31148
